pulse_name,created,modified,adversary
Gremlin Stealer's Evolved Tactics: Hiding in Plain Sight With Resource Files,2026-05-15T15:23:31.567000,2026-06-14T15:07:17.233000,
Ongoing exploitation of Cisco Catalyst SD-WAN vulnerabilities,2026-05-14T20:10:32.180000,2026-06-13T20:00:40.123000,UAT-8616
ClickFix Evolves with PySoxy Proxying,2026-05-13T16:41:05.258000,2026-06-12T16:17:03.982000,
Python Backdoor Threat Analysis Following an AI Deepfake Impersonation Campaign,2026-05-13T16:41:04.367000,2026-06-12T16:17:03.982000,APT37
LBIOC-20260071 - The Gentlemens Leak,2026-05-13T09:08:56.231000,2026-06-12T09:05:02.916000,The Gentlemen
